nohup: ignoring input
Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/002-pgan-masks_complete_full_no_empty-preset-v2-1gpu-fp32/metric-swd-16k.txt
Streaming data using dataset.TFRecordDataset...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/dataset.py:74: tf_record_iterator (from tensorflow.python.lib.io.tf_record) is deprecated and will be removed in a future version.
Instructions for updating:
Use eager execution and: 
`tf.data.TFRecordDataset(path)`
WARNING:tensorflow:From /nobackup/data/mehfo331/Conda/PGAN/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Dataset shape = [1, 256, 256]
Dynamic range = [0, 6]
Label size    = 0
Initializing metrics.sliced_wasserstein.API...

Snapshot  Time_eval   SWDx1e3_256  SWDx1e3_128  SWDx1e3_64   SWDx1e3_32   SWDx1e3_16   SWDx1e3_avg  
6960      15m 41s     15.2746      5.5808       2.9640       2.6488       3.0963       5.9129       
6920      15m 43s     14.3072      4.0434       2.9932       3.0396       5.4386       5.9644       
6880      15m 42s     16.0185      4.1951       2.7268       3.1006       4.1260       6.0334       
6840      15m 45s     16.2454      5.3415       2.3480       2.3575       3.7038       5.9992       
6800      15m 41s     17.3876      6.0118       2.5549       3.0653       3.1482       6.4336       
6760      15m 46s     16.7343      5.1791       3.1360       3.1697       3.4462       6.3331       
6720      15m 41s     16.1529      4.9518       3.5318       4.2088       6.3803       7.0451       
6680      15m 45s     16.2371      6.0607       2.9126       2.7052       3.2232       6.2277       
6640      15m 42s     19.5705      8.0847       4.2879       3.8785       3.5388       7.8721       
6600      15m 44s     20.0349      10.4556      4.8152       3.2945       3.7106       8.4622       
6548      15m 35s     19.6062      11.7837      6.0141       5.0263       4.7797       9.4420       
6488      15m 31s     19.6713      10.6087      5.0905       3.5236       2.8941       8.3576       
6428      15m 35s     19.7161      11.3771      5.4062       4.7456       4.6935       9.1877       
6368      15m 31s     17.7123      8.2185       3.3434       2.5898       4.0097       7.1747       
6308      15m 35s     17.7907      8.8551       3.5241       2.3808       3.4473       7.1996       
6248      15m 38s     19.2467      9.6768       4.5236       3.4142       3.2044       8.0131       
6188      15m 35s     17.1226      7.5420       3.0504       3.1824       4.2060       7.0207       
6128      15m 34s     18.6823      9.0811       4.4466       3.5568       2.8667       7.7267       
6068      15m 38s     16.3807      8.2696       3.4183       3.3741       2.7156       6.8317       
6008      15m 37s     17.8781      8.8901       4.6356       3.8716       2.8804       7.6312       
5948      15m 37s     18.9700      10.4844      5.1840       5.7550       4.3135       8.9414       
5888      15m 32s     19.3858      10.0333      3.5105       2.6345       2.8038       7.6736       
5827      15m 35s     20.6276      12.2597      5.9895       3.9163       2.6873       9.0961       
5767      15m 38s     19.6374      10.4755      4.2500       2.9312       3.4145       8.1417       
5707      15m 39s     20.9424      12.8017      6.9531       3.9335       3.0279       9.5317       
5647      15m 35s     20.9904      12.9855      7.4495       4.5065       2.5992       9.7062       
5587      15m 30s     20.9364      10.7060      6.3000       4.9042       6.6400       9.8973       
5527      15m 33s     22.9372      12.4321      7.2944       4.7745       4.2536       10.3384      
5467      15m 33s     23.8021      15.1046      10.7305      5.3569       3.3771       11.6742      
5407      15m 32s     25.3951      13.9533      9.3462       4.5465       3.4864       11.3455      
5347      14m 54s     24.5681      12.8868      10.1388      4.8944       4.6217       11.4220      
5267      14m 53s     25.4791      12.2217      10.0355      5.0245       4.7110       11.4943      
5187      14m 55s     26.3835      13.8475      11.3097      6.1318       4.6992       12.4743      
5107      14m 57s     24.1026      11.7494      8.8709       4.8410       4.9208       10.8970      
5027      14m 53s     25.2388      10.5066      10.1016      4.9120       4.0591       10.9636      
4947      14m 54s     25.3039      12.7822      11.2516      5.7934       4.4350       11.9132      
4867      14m 52s     23.5668      11.8448      10.3152      5.3987       3.5530       10.9357      
4787      14m 52s     23.8437      10.6001      22.1437      53.4180      65.0784      35.0168      
4707      14m 58s     22.0844      14.5260      17.9861      52.0021      64.8930      34.2983      
4627      14m 54s     36.7032      32.8303      25.9397      21.7052      15.2527      26.4862      
4547      14m 53s     31.4452      26.8531      24.1545      18.8770      8.9450       22.0550      
4467      14m 54s     34.1360      26.5571      24.3967      19.0158      8.9822       22.6176      
4387      14m 53s     34.2317      29.6703      27.5322      24.3774      12.1417      25.5907      
4307      14m 52s     34.0462      34.9632      31.1849      25.3863      14.5089      28.0179      
4227      14m 50s     33.5753      32.5719      24.1455      20.9182      9.1548       24.0731      
4147      14m 24s     34.7737      27.9108      14.8113      12.1414      5.5874       19.0449      
4047      14m 32s     35.1308      26.8122      14.4300      12.4267      7.1898       19.1979      
3947      14m 27s     35.8623      28.0198      14.2644      12.2878      6.6178       19.4104      
3847      14m 26s     35.2133      28.8064      15.6752      13.4836      5.2803       19.6917      
3747      14m 26s     35.5669      27.5534      14.2229      12.4945      5.8829       19.1441      
3647      14m 24s     35.3796      25.9607      12.8338      10.9278      7.0345       18.4273      
3547      14m 25s     34.8274      28.6398      16.9094      10.7439      8.3793       19.8999      
3447      14m 26s     37.5308      31.5358      20.8475      15.6713      9.1839       22.9539      
3346      14m 26s     38.2196      34.9649      28.2760      23.1734      13.6632      27.6594      
3246      14m 28s     46.7051      37.6352      33.4679      27.0898      14.0182      31.7832      
3146      14m 22s     53.4956      39.0605      35.4299      27.1189      14.0437      33.8297      
3046      14m 23s     64.2151      38.0215      39.8305      22.9665      15.1133      36.0294      
2946      14m 11s     66.7130      38.2387      39.8890      20.9666      12.9045      35.7424      
2826      14m 12s     68.3391      38.9967      39.3664      22.3755      11.3633      36.0882      
2705      14m 08s     65.8197      38.4008      37.8870      21.1748      11.4819      34.9528      
2585      14m 12s     69.2787      37.2111      41.3854      22.2277      12.4004      36.5007      
2465      14m 14s     64.9708      38.3719      41.6851      22.7451      17.4127      37.0371      
2344      14m 22s     55.6545      53.2140      57.4849      34.9950      31.3027      46.5302      
2224      14m 16s     53.6737      62.6750      76.2923      57.6276      39.9969      58.0531      
2104      14m 20s     49.2783      99.2124      117.7230     81.5264      56.7145      80.8909      
1984      14m 47s     119.3285     241.4679     279.6389     172.8724     93.6208      181.3857     
1863      14m 45s     96.5246      220.4438     257.9484     172.2138     87.3974      166.9056     
1743      13m 54s     108.5221     53.8567      56.9571      56.7820      30.4927      61.3221      
1603      13m 52s     108.7231     52.9974      57.9775      57.7174      31.0460      61.6923      
1462      13m 52s     108.4877     51.8396      58.0577      57.8930      32.8752      61.8307      
1322      13m 54s     104.0481     51.5209      62.9999      64.7712      36.8593      64.0399      
1182      14m 40s     73.9053      183.4672     265.4402     198.9034     89.2460      162.1924     
1041      14m 41s     74.6592      183.5095     272.9082     211.1215     85.0917      165.4580     
901       14m 19s     54.6392      125.6247     205.0334     179.5355     95.2776      132.0221     
761       14m 11s     56.9817      109.2126     192.2107     166.7391     110.9537     127.2196     
621       13m 33s     138.4043     81.6462      66.7332      106.3606     79.6928      94.5674      
480       13m 23s     141.0093     91.2058      64.3589      98.6774      77.7362      94.5975      
320       13m 25s     140.8676     89.3061      64.9727      101.3763     81.3163      95.5678      
160       13m 42s     117.9779     61.3686      89.3331      130.6987     84.4600      96.7676      

Exiting...
